iter	Passed	Remaining
0	1	1001
1	1	917
2	2	870
3	3	836
4	4	822
5	5	831
6	6	871
7	7	915
8	8	899
9	8	884
10	9	878
11	10	865
12	11	857
13	12	849
14	12	843
15	13	837
16	14	832
17	15	827
18	15	821
19	16	815
20	17	811
21	18	806
22	19	807
23	19	808
24	20	805
25	21	801
26	22	797
27	22	794
28	23	791
29	24	788
30	25	786
31	25	783
32	26	782
33	27	779
34	28	777
35	28	775
36	29	773
37	30	772
38	31	770
39	32	768
40	32	767
41	33	767
42	34	765
43	35	763
44	35	761
45	36	759
46	37	758
47	38	756
48	38	755
49	39	753
50	40	752
51	41	750
52	41	749
53	42	748
54	43	746
55	44	745
56	44	744
57	45	742
58	46	741
59	47	743
60	48	744
61	49	743
62	49	742
63	50	743
64	51	742
65	52	741
66	53	740
67	53	739
68	54	739
69	55	738
70	56	736
71	57	735
72	57	734
73	58	733
74	59	732
75	60	731
76	60	731
77	61	730
78	62	729
79	63	725
80	63	724
81	64	723
82	65	722
83	66	721
84	66	721
85	67	720
86	68	720
87	69	719
88	70	718
89	71	717
90	71	717
91	72	716
92	73	715
93	74	714
94	75	714
95	76	716
96	76	716
97	77	716
98	78	716
99	79	715
100	80	715
101	81	716
102	82	717
103	83	718
104	84	718
105	85	718
106	86	718
107	86	718
108	87	718
109	88	718
110	89	717
111	90	716
112	91	716
113	92	715
114	92	714
115	93	713
116	94	712
117	95	711
118	95	710
119	96	709
120	97	708
121	98	707
122	99	706
123	99	705
124	100	704
125	101	703
126	102	702
127	102	701
128	103	700
129	104	699
130	105	698
131	106	697
132	106	696
133	107	695
134	108	694
135	108	692
136	109	691
137	110	690
138	111	689
139	112	688
140	112	687
141	113	686
142	114	685
143	115	684
144	115	683
145	116	682
146	117	682
147	118	683
148	119	683
149	120	683
150	121	682
151	122	682
152	123	681
153	123	680
154	124	679
155	125	678
156	126	677
157	126	676
158	127	675
159	128	673
160	129	672
161	129	671
162	130	670
163	131	669
164	132	668
165	132	667
166	133	667
167	134	666
168	135	665
169	136	664
170	136	663
171	137	662
172	138	661
173	139	660
174	139	659
175	140	659
176	141	658
177	142	657
178	143	656
179	143	655
180	144	655
181	145	654
182	146	653
183	147	652
184	147	651
185	148	650
186	149	649
187	150	648
188	150	647
189	151	647
190	152	646
191	153	645
192	154	644
193	154	643
194	155	642
195	156	641
196	157	641
197	158	640
198	158	639
199	159	638
200	160	637
201	161	637
202	162	636
203	162	635
204	163	634
205	164	634
206	165	633
207	166	632
208	167	632
209	167	631
210	168	630
211	169	630
212	170	629
213	171	628
214	171	627
215	172	627
216	173	626
217	174	625
218	175	624
219	175	623
220	176	623
221	177	622
222	178	621
223	179	620
224	180	620
225	180	619
226	181	618
227	182	617
228	183	617
229	184	616
230	184	615
231	185	614
232	186	612
233	187	612
234	187	611
235	188	610
236	189	609
237	190	609
238	191	608
239	191	607
240	192	606
241	193	606
242	194	605
243	195	604
244	195	603
245	196	602
246	197	602
247	198	600
248	198	599
249	199	599
250	200	598
251	201	597
252	202	596
253	202	595
254	203	594
255	204	593
256	205	593
257	205	592
258	206	591
259	207	590
260	208	589
261	209	588
262	209	588
263	210	586
264	211	585
265	211	584
266	212	583
267	213	582
268	214	581
269	214	580
270	215	580
271	216	579
272	216	577
273	217	576
274	218	576
275	219	575
276	220	574
277	220	573
278	221	572
279	222	571
280	223	571
281	223	570
282	224	569
283	225	568
284	226	567
285	227	566
286	227	566
287	228	565
288	229	564
289	230	563
